mcule_id	smiles	insoluble
M728571	CC(=O)C1=C(C)N(C2=C1C=C(O)C=C2)C1=CC=CC=C1	0
M1051507	COC1=CC=C(C=C1OC)C1C2=C(OC(N)=C1C#N)C1=C(S2)C=CC=C1	0
M1051508	CC(=O)C1=CC=C(C=C1)C1=CC=C(O1)C=C(C#N)C1=NN=C2CCCCCN12	0
M1114806	CN1C2=C(C=CC=C2)N2C1=C(C#N)C(=O)C1=C2C=NC(=N1)N1CCOCC1	0
M1051509	CN(C)C1=CC=C(NC(=O)C2=CC3=C(S2)N(N=C3C)C2=CC=CC=C2)C=C1	0
M761035	O=C(NCC1=CC=CC=C1)C1=CC=C2C(=O)C3=CC=CC=C3S(=O)(=O)C2=C1	0
M1114807	CN1C2=C(C=CC=C2)N2C1=C(C#N)C(=O)C1=C2C=NC(=N1)N1CCCCC1	0
M761059	CC1=NN(C(N)=C1C1(O)C(=O)NC2=C1C=C(Cl)C=C2Cl)C1=CC=CC=C1	0
M859850	COC1=CC=CC(NC(=O)C2=NC(SC)=NC=C2Cl)=C1	0
M761088	COC1=CC=C(CCC2(C)NC(=O)NC2=O)C=C1	0
M1051511	COC1=CC=C(NC(=O)C(C)NC(=O)C2=CC=CC=C2NC(=O)C2=CC=CO2)C=C1	0
M1114808	CN(C)C1=CC=C(CNC2=NC3=C(C=CC=C3)N2CCN2CCCCC2)C=C1	0
M1051510	CC1=NN(C=C1C=C1C(C)=NN(C1=O)C1=CC=CC=C1)C1=CC=CC=C1	0
M761159	ClC1=CC=C(C=C1)C1CC(N2N=NN=C2N1)C1=CC=C(Cl)C=C1	0
M1051512	CC1=C(OC2=C1C=CC=C2)C(=O)N1CCCCC1	0
M1051513	[O-][N+](=O)C1=CC(=CC=C1N1CCOCC1)C(=O)NC1=NC2=C(S1)C=C(Cl)C=C2	0
M1051514	CN1C(=O)N(CCOC2=CC=C(C)C=C2)C2=C1C=CC=C2	0
M1019771	CN1C(=O)N(CCOC2=CC=CC=C2)C2=C1C=CC=C2	0
M1114809	O=C1OC(=NC1=CC1=CC=C(C=C1)N1CCOCC1)C1=CC=CC=C1	1
M761207	Cl.CC1CCCC(C)N1CC(O)COCCC12CC3CC(CC(C3)C1)C2	0
M1051515	CCCCN(CCCC)C(=O)C1=CC=C2C(=O)C3=CC=CC=C3S(=O)(=O)C2=C1	0
